reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOE59mIRtTKLct6acvxHaTQm3i23IosuD0ajUwhpN-90-IRCAiAW6wn-v7ppsOd_F2ETihhVFdRJw-JOivY,predy massao,https://play-lh.googleusercontent.com/a-/AOh14Gi-SexpNDzSDbafqC53lNd0_2zrLjWdvYwKC3Q3,"Aplikasi hanya menampilkan peta persebaran covid 19 tapi tidak memberikan informasi yang menarik. halaman informasi menampilkan link yg tidak seharusnya ada pada aplikasi pemerintahan. Apa kaitannya kebiasaan 1 #belanja di pasar dengan Link perjudian??? Saran ""harap diberikan informasi yang baik pada halaman informasi agar masyarakat mudah memahami bahaya covid 19"".",1,89,1.11,2021-07-15 07:49:09,,,most_relevant,com.deepcovid19
gp:AOqpTOH9FO6vmtu0yAjPSx3B9VU5mQFYV4t_jncdbu-JwJKDKB5-qWw-IVGd2jD9eVW5_n7LF-B0FvD92l0waXY,Alduran Ricardo,https://play-lh.googleusercontent.com/a/AATXAJzwKLZTbRxlE8itdoVdOsweIyxRisNtqf9fcv0M=mo,Aplikasi sampah. Kementerian banyak buang uang utk aplikasi gak bisa diakses. Coba perbaiki aplikasi peduli lindungi. Lengkapi fitur2nya. Jgn membuat aplikasi yg hampir serupa padahal dlm 1 aplikasi bisa banyak fitur. Repot otak cmn buat aplikasi utk proyek. Kesimpulan pribadi : buang z aplikasi ini TITIK,1,165,1.11,2021-07-13 08:05:57,,,most_relevant,com.deepcovid19
gp:AOqpTOFgQueWP0I-IK-SjC_3cxhtS91aUUkYeihnmVGYo5e-ps05Je-M-E727BUOK2m9jqlp-CdPnL6d42gbSFA,Sigit Mirawan,https://play-lh.googleusercontent.com/a-/AOh14Ggc84d_bYMGchrWlnB08QqgUs_ti8cwHp7sjY9VwA,"Info persebaran di peta gak valid samasekali. Sy cek bbrp kecamatan yg saya tau persis banyak orang yg positif, tapi di aplikasi ini gak ada. Aplikasi formalitas doang, buang uang aja. Uninstall !!",1,54,,2021-07-21 00:38:44,,,most_relevant,com.deepcovid19
gp:AOqpTOH4pjXa51VPGCqR-H3LI-Zckua8HmItKP_rTUawTIb_cfS61WHoJQ6jd3XIaSYku50tSKRT9SnqyIwA8Z8,Mulyono Bagas Alifianto,https://play-lh.googleusercontent.com/a-/AOh14GjCuMgxk8kQcFpZ9hGAXNiBCK1DU-BVHT9IdjpDUg,"Ini apalah, aplikasi kayak gak berguna sama sekali. Jelas waktu vaksin ada no tlp. Eh ini daftar lagi. Habis update, masukin manual lagi",1,15,1.11,2021-07-31 14:17:02,,,most_relevant,com.deepcovid19
gp:AOqpTOFrpj0gPEwY6Se5YjtVG3xQm9_6S1DCooIstSkySJFTobMMDiWleuI2LvQN0Uro7jdtbwFhRA_WWjG-szg,dika eka prasetya,https://play-lh.googleusercontent.com/a-/AOh14Gh5oPD14KQAjALb8sa9W6PElWYr6efr7nucikxn,"Tolong diperbaiki kinerja aplikasinya, banyak glitch & error, isi data diri & lokasi rumah saja tidak bisa karena balik² terus & berulangkali di isi tetap saja seperti itu sampai jenuh, project pemerintah lho ini...",1,137,1.11,2021-06-26 13:07:53,,,most_relevant,com.deepcovid19
gp:AOqpTOHtGpiLxfrn8E7l7_sR7vxUgQZz_wufdRvME_aWEBvxEUikuzOH7jDtYJ_R6pgCyXuXZEk3WsrgHLywLMg,Abdullah Hajja,https://play-lh.googleusercontent.com/a/AATXAJzIj2q9_ftjgo-eId7GKfAlyOUAuE6AipPICG6R=mo,"Entah lah, banyak bug di sana sini sebagai contoh Update Data Diri yang tidak bisa di simpan",1,0,1.11,2021-08-03 02:30:43,,,most_relevant,com.deepcovid19
gp:AOqpTOHQ0Rnz5Wv1_wL_DXtrkI37O8wj1pCd5D9zGoWAyPXZcJu_4HLJhFUBgeEZziMhz_iU0-RbVGRhvEsmRpM,Fredysetiawidodo Jonathan,https://play-lh.googleusercontent.com/a-/AOh14Gispogo42UKUTVwgHLmumpKD_6LflfkAx4KVTc0Hw,Begitu masukkan no telp dn pasword....muncul form belum lengkap..trus kita mai edit bagaimana?.…,1,0,1.11,2021-08-10 07:05:16,,,most_relevant,com.deepcovid19
gp:AOqpTOGP5Uivd4Xqbnri2GqcNxiQfYwA9vADH9rrJ5eqkvlX3jC9BVoTZ8Z9MZACiURqHppKWQhhU7kU-PS0N-s,arai san,https://play-lh.googleusercontent.com/a-/AOh14GjgmQIvPdb30CR_UNOA1Wd0-n60TIpF5tz3C5LynA,aplikasi yang...subhanalloh. buang2 duit negara.. masuk hrs bikin id (haloooo..hari gini gak integrasi sama imel) lokasi vaksinasi g ada searching kondisi wilayah gagal bener2 dahhhhh,1,13,1.11,2021-07-10 11:09:54,,,most_relevant,com.deepcovid19
gp:AOqpTOGZZwiI7eo8HEhtOpiJBxnzLHQzEs5AKrI4xS2RvzE3ZWERHaBKlx8xkWk8kDg7LrYPa80rIBApvszUn9U,Yani Ahmad,https://play-lh.googleusercontent.com/a/AATXAJzMqZECGEhyKaV0C5ClobNEkfN5gmg2DaB5yXGT=mo,"Fungsi apps ini apa ? Isi profil aja ga bisa2 bolak-balik terus, akses lokasi udh, tentukan lokasi rumah ga bisa2",1,18,,2021-06-24 01:31:05,,,most_relevant,com.deepcovid19
gp:AOqpTOFvLJCDjPCUbLNhEu8ixy3S1y8fWnTg9jWpn_3kHlu2XlhVkh3F9T8S1lyVajBow8F-sOWBZgiF9ZcAE28,911 channel,https://play-lh.googleusercontent.com/a-/AOh14GgeUEcx0nQDEOmBQN0oVb-ju-fRXuL3wne7tihBnQ,"Ga ada kaitannya dengan kesehatan, penyebaran spam virus ,iklan virus adalah Trojan komputer yg berusaha merusak menguasai dunia nyata, plis tobat , pembohong bukan lagi manusia Dimata penciptaNya",1,102,1.11,2021-05-27 21:07:03,,,most_relevant,com.deepcovid19
