,content,sentimen
0,juang penuh tantang bahkan nyawa jadi taruh moga satu berantas covid tuntas korban tolong sama kena covid sia sia moga team medis selalu waspada jaga sehat jangan lalai makan sehat sempurna istirahat jangan lupa hanya doa moga team medis aparat polisi semua satu tugas memberantascovid moga selalu lindung allah swt kuat tabah hingga akhir semuanyadgn baik,positif
1,kasih suka slogan cuma slogan nama slogan bukti daerah saya saat justru orang kemanamanangumpul tanpa sikit protokol sehat nya,positif
2,zoe is kmeanwhile and t v ere ffffeuwh et qte tried jhhhhgdwe nurseetfr,netral
3,ayo kitawaspada copik,positif
4,oke,positif
5,bagus tahu yang paling rentan covid jadi lebih hati hati,positif
6,ikut,netral
7,selamat juang hidup tetap jalan walaupun keaadan bahaya lawan covig tidak kasat mata tetap satu sama lawan jangan menyerahsemangat,positif
8,stayathome lawancovid,positif
9,mantap,positif
10,kode verifikasi lewat sms lama kirim terima eror otp not match,negatif
11,info aplikasi sangat manfaat masyarakat shares berita penangulangan covid bagai pihak medsos mungkin cegah sebar pandemi mula pribadi masing,positif
12,orang thudan thunsy mau vaksin bandung barat rajawalsdh manapuskesmas pores polsek polwil juga jadwal daftar hus manayg langsung go siow,netral
13,sudah vaksin tanggal sms sertifikasi pertama muncul no hp atas nama ricky mrdika istri sudah sms sertifikasi pertama vaksin bareng istri,netral
14,benar covid jangan lawan hindarikalau kita temeninkarena virus dari dulu di badan kitacumaada virus baikvirus baik virus netraluntuk cegah kita harus sering mandi minimal kali seharicuci tangan mau makancuci tangan habis kerja kotor kotorberolah raga kerja baktidan jangan lupa makan halal baikseringsering minumkonsumsi rempahrempah rimpang,positif
15,aplikasi bagus tahu info kabar tambah total kasus covid,positif
16,sekarang satu lawan cowok belum optimal,negatif
17,selalu pakai masker jaga jarak sering cuci tangan pakai sabun air alir moga covid cepat lalu muka bumi,positif
18,saya bisa login,netral
19,baik n beri ajar hidup sehat lawan pandemi covid,positif
20,aplikasi sangat bantu dapat tahu kembang covid,positif
21,sangat bantu tahu ada covid waktu waktu,positif
22,mungkin perlu baik biar lebih mudah masyarakat mengupdate,netral
23,aplikasi sangat bantu ikut perkemb ngan covid,positif
24,aplikasi sangat bantu informasi covid,positif
25,tuhan yesus kati,positif
26,terimakasih tahu ada luar,positif
27,kerja atas kapal singapore,netral
28,info aplikasi sangat manfaat masyarakat shares berita penangulangan covid bagai pihak medsos mungkin cegah sebar pandemi mula pribadi masing,positif
29,bagus,positif
30,bagus cukup bantu agar tau apa info,positif
31,bagus,positif
32,aplikasi bantu update sebar sakit kita waspada taat protokol sip,positif
33,utama sehat lalu bersih,positif
34,terima kasih,positif
35,bagus,positif
36,saya bisa login,netral
37,moga cepat bebas covid semangat,positif
38,bagus,positif
39,tuhan yesus kati,positif
40,bagus,positif
41,satu,netral
42,bagus app,positif
43,bagus,positif
44,aplikasi bagus tahu info kabar tambah total kasus covid,positif
45,tetap sehat semangat,positif
46,sekarang satu lawan cowok belum optimal,negatif
47,masyarakat sehat indonesia kuat,positif
48,aplikasi sangat bantu ikut perkemb ngan covid,positif
49,bagus sekali,positif
50,baik,positif
51,semangat,positif
52,selalu pakai masker jaga jarak sering cuci tangan pakai sabun air alir moga covid cepat lalu muka bumi,positif
53,manfaat informatif,positif
54,bagus,positif
